HistoricalCode,BfsCode,ValidFrom,ValidTo,Level,Parent,Name,ShortName,Inscription,Radiation,Rec_Type_fr,Rec_Type_de
1,1,12.09.1848,,1,,Zürich,ZH,,,,
10053,101,12.09.1848,,2,1,Bezirk Affoltern,Affoltern,100,,,
10575,13,12.09.1848,,3,10053,Stallikon,Stallikon,,,,
11742,2,12.09.1848,,3,10053,Affoltern am Albis,Affoltern am Albis,,,,
11801,3,12.09.1848,,3,10053,Bonstetten,Bonstetten,,,,
11992,4,01.01.1911,,3,10053,Hausen am Albis,Hausen am Albis,3769,,,
12249,5,12.09.1848,,3,10053,Hedingen,Hedingen,,,,
12433,9,12.09.1848,,3,10053,Mettmenstetten,Mettmenstetten,,,,
12497,10,12.09.1848,,3,10053,Obfelden,Obfelden,,,,
12671,6,01.01.1911,,3,10053,Kappel am Albis,Kappel am Albis,3768,,,
12674,7,12.09.1848,,3,10053,Knonau,Knonau,,,,
12738,8,12.09.1848,,3,10053,Maschwanden,Maschwanden,,,,
12891,12,12.09.1848,,3,10053,Rifferswil,Rifferswil,,,,
13124,11,12.09.1848,,3,10053,Ottenbach,Ottenbach,,,,
13255,14,15.11.1976,,3,10053,Wettswil am Albis,Wettswil am Albis,1070,,,
13256,1,15.11.1976,,3,10053,Aeugst am Albis,Aeugst am Albis,1071,,,
10074,110,12.09.1848,,2,1,Bezirk Winterthur,Winterthur,100,,,
10312,231,12.09.1848,,3,10074,Zell (ZH),Zell (ZH),,,,
10347,230,01.01.1922,,3,10074,Winterthur,Winterthur,3789,,,
10857,228,12.09.1848,,3,10074,Turbenthal,Turbenthal,,,,
11467,213,12.09.1848,,3,10074,Brütten,Brütten,,,,
11565,216,12.09.1848,,3,10074,Dinhard,Dinhard,,,,
11574,214,12.09.1848,,3,10074,Dägerlen,Dägerlen,,,,
11583,215,12.09.1848,,3,10074,Dättlikon,Dättlikon,,,,
11777,211,12.09.1848,,3,10074,Altikon,Altikon,,,,
12001,220,12.09.1848,,3,10074,Hagenbuch,Hagenbuch,,,,
12144,218,12.09.1848,,3,10074,Ellikon an der Thur,Ellikon an der Thur,,,,
12283,221,12.09.1848,,3,10074,Hettlingen,Hettlingen,,,,
12294,219,01.01.1922,,3,10074,Elsau,Elsau,3790,,,
12889,225,12.09.1848,,3,10074,Rickenbach (ZH),Rickenbach (ZH),,,,
12977,227,12.09.1848,,3,10074,Seuzach,Seuzach,,,,
13145,224,12.09.1848,,3,10074,Pfungen,Pfungen,,,,
14120,226,01.01.1999,,3,10074,Schlatt (ZH),Schlatt (ZH),1920,,,
15514,223,01.01.2013,,3,10074,Neftenbach,Neftenbach,3293,,,
15631,298,01.01.2014,,3,10074,Wiesendangen,Wiesendangen,3410,,,
16081,294,01.01.2018,,3,10074,Elgg,Elgg,3583,,,
2,2,12.09.1848,,1,,Bern,BE,,,,
20001,301,12.09.1848,,2,2,Bezirk Jura bernois,Jura bernois,100,,,
21341,701,12.09.1848,,3,20001,Tramelan,Tramelan,,,,
21460,711,12.09.1848,,3,20001,Saicourt,Saicourt,,,,
21461,712,12.09.1848,,3,20001,Sorvilier,Sorvilier,,,,
26,26,12.09.1848,,1,,Schaffhausen,SH,,,,
26001,2932,12.09.1848,,2,26,Klettgau,Klettgau,100,,,
26010,2932,12.09.1848,,3,26001,Beringen,Beringen,,,,
26011,2933,12.09.1848,,3,26001,Neuhausen am Rheinfall,Neuhausen am Rheinfall,,,,
3,3,12.09.1848,,1,,Luzern,LU,,,,
30001,1001,12.09.1848,,2,3,Amt Luzern,Luzern,100,,,
30010,1061,12.09.1848,,3,30001,Luzern,Luzern,,,,